rise_per_s,startup_gate_s,hold_s,fall_per_s,hz,duration,run_file,rd_zero_count,rd_intermediate_count,rd_full_count,rd_total
0.05,0.5,0.1,1.0,5,12,data\runs\force_brake_stream.csv,1,0,0,1
0.05,0.5,0.2,1.0,5,12,data\runs\force_brake_stream.csv,1,0,0,1
0.05,1.0,0.1,1.0,5,12,data\runs\force_brake_stream.csv,1,0,0,1
0.05,1.0,0.2,1.0,5,12,data\runs\force_brake_stream.csv,1,0,0,1
0.05,2.0,0.1,1.0,5,12,data\runs\force_brake_stream.csv,1,0,0,1
0.05,2.0,0.2,1.0,5,12,data\runs\force_brake_stream.csv,1,0,0,1
0.1,0.5,0.1,1.0,5,12,data\runs\force_brake_stream.csv,1,0,0,1
0.1,0.5,0.2,1.0,5,12,data\runs\force_brake_stream.csv,1,0,0,1
0.1,1.0,0.1,1.0,5,12,data\runs\force_brake_stream.csv,1,0,0,1
0.1,1.0,0.2,1.0,5,12,data\runs\force_brake_stream.csv,1,0,0,1
0.1,2.0,0.1,1.0,5,12,data\runs\force_brake_stream.csv,1,0,0,1
0.1,2.0,0.2,1.0,5,12,data\runs\force_brake_stream.csv,1,0,0,1
0.2,0.5,0.1,1.0,5,12,data\runs\force_brake_stream.csv,1,0,0,1
0.2,0.5,0.2,1.0,5,12,data\runs\force_brake_stream.csv,1,0,0,1
0.2,1.0,0.1,1.0,5,12,data\runs\force_brake_stream.csv,1,0,0,1
0.2,1.0,0.2,1.0,5,12,data\runs\force_brake_stream.csv,1,0,0,1
0.2,2.0,0.1,1.0,5,12,data\runs\force_brake_stream.csv,1,0,0,1
0.2,2.0,0.2,1.0,5,12,data\runs\force_brake_stream.csv,1,0,0,1
